node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,study_phase,tp,dp,ep,num_speculative_tokens,spec_stats_source,draft_tokens,accepted_draft_tokens,verification_steps,acceptance_length_includes_bonus,accepted_tokens_by_position,kv_capacity_tokens_min_per_rank,kv_cache_usage_peak_pct,preemptions_delta
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,11,false,PARTIAL,PARTIAL,4,2026-09-20T05:30:15.820508+00:00,2026-09-20T05:32:58.123989+00:00,136.7362236371264,128,0,1042149,131072,958.5755443110801,0.9361089299912891,2720.362339998246,10875.293868267909,29.775215841316324,38.82985216454363,88.14029445905608,623.1750684790309,33180.40814566484,43553.90417943708,65.44516031799857,2.963354809539957,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,132705,86849,44235,true,"[36836,28963,21050]",65099,28.342566252433,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,12,false,PARTIAL,PARTIAL,8,2026-09-20T05:32:58.126225+00:00,2026-09-20T05:36:09.701175+00:00,164.400641576387,128,0,1042149,131072,797.2718277933168,0.7785857693294109,4042.387587353005,11394.014264270658,34.639513095709546,58.476059225352365,103.78775972303308,626.3961358927191,39478.60948426387,68464.74541779608,66.65064945960994,2.9995194837882986,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,131109,87385,43703,true,"[36873,29202,21310]",65099,28.181614014073965,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,1,false,PARTIAL,PARTIAL,152,2026-09-20T05:45:36.807094+00:00,2026-09-20T05:51:54.630929+00:00,352.0534410364926,128,0,1042149,131072,372.3071122784837,0.36358116433445675,8475.598921213532,35847.274692356485,75.21059633120164,171.89645635383795,244.09191241311922,632.0385419763625,85416.03896803281,188794.53527759758,56.2359035368181,3.249436141472724,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,161388,90758,40347,true,"[33050,25922,18992,12794]",64912,28.405720935470548,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,2,false,PARTIAL,PARTIAL,36,2026-09-20T05:51:54.631684+00:00,2026-09-20T05:55:25.225753+00:00,184.32469383161515,128,0,1042149,131072,711.0930026539867,0.6944267604042839,3434.1989099630155,11513.742013322182,40.5829073943816,83.33665286350124,132.88542864102217,629.7330220695585,44950.51317441539,93193.55688216165,56.97986996749187,3.279194798699675,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159960,91145,39990,true,"[33245,26156,19001,12743]",64912,28.323135252824805,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,3,false,PARTIAL,PARTIAL,16,2026-09-20T05:55:25.229643+00:00,2026-09-20T05:58:31.709272+00:00,160.15538695733994,128,0,1042149,131072,818.405190672189,0.7992238190158095,3526.9158832379617,10910.270737297833,34.291461086004105,58.16869463558552,112.85182195351985,630.6198479607701,38607.08057422016,68336.53465555981,57.38457865239136,3.2953831460956544,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159156,91331,39789,true,"[33163,26045,19121,13002]",64912,28.28935020083336,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,4,false,PARTIAL,PARTIAL,4,2026-09-20T05:58:31.711240+00:00,2026-09-20T06:01:12.235984+00:00,135.16659002006054,128,0,1042149,131072,969.707085016698,0.9469795752116191,2903.883480321383,10907.412258442491,28.733546162272336,40.82242178308248,95.13959387091646,630.3825886920094,32298.30120432598,44976.31668951362,57.90451867398286,3.316180746959314,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,158188,91598,39547,true,"[32985,26123,19345,13145]",64912,28.18048725552761,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,5,false,PARTIAL,PARTIAL,2,2026-09-20T06:01:12.237138+00:00,2026-09-20T06:04:08.896175+00:00,151.0317096542567,128,0,1042149,131072,867.8442447619201,0.8475041452753126,3375.331018680299,10852.83599961549,32.01950381946005,47.09143083026398,103.88666639010012,630.2283363416791,36131.28342598793,56786.181165231385,56.225996679798804,3.2490398671919523,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,161436,90769,40359,true,"[33119,25932,19002,12716]",64912,28.112917151544725,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,6,false,PARTIAL,PARTIAL,12,2026-09-20T06:04:08.899061+00:00,2026-09-20T06:07:11.621919+00:00,157.3541138265282,128,0,1042149,131072,832.9747269556462,0.8134518817926233,3047.6436782992096,11460.445913346477,34.30344945634374,58.15174760590995,112.6054386476624,630.8172953315079,38140.072472138854,61287.716380506754,57.17723740285786,3.2870894961143144,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159560,91232,39890,true,"[33190,26152,19010,12880]",64912,28.44701377679343,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,7,false,PARTIAL,PARTIAL,8,2026-09-20T06:07:11.623263+00:00,2026-09-20T06:09:50.061526+00:00,132.98531296662986,128,0,1042149,131072,985.6125994371275,0.9625123041378199,3034.713136170467,10918.141958629712,28.387072635646696,39.402903024861004,93.35971107201411,631.2461662106216,32074.688442437036,44195.96838578582,57.336430993344216,3.2934572397337685,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159260,91314,39815,true,"[33318,26114,19057,12825]",64912,28.36818198881339,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,8,false,PARTIAL,PARTIAL,6,2026-09-20T06:09:50.062938+00:00,2026-09-20T06:12:28.910810+00:00,133.3336582519114,128,0,1042149,131072,983.0376044461453,0.9599976605919388,2781.1711469621514,10930.87919591926,28.726388784538244,41.30707722956556,94.25313370420633,629.870093613863,32168.26687354478,46009.13074412383,57.14688416146734,3.2858753664586935,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159636,91227,39909,true,"[33088,26012,19126,13001]",64912,28.37568977814483,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,9,false,PARTIAL,PARTIAL,6,2026-09-20T06:12:28.912607+00:00,2026-09-20T06:15:11.596080+00:00,135.98773323372006,128,0,1042149,131072,963.851642226645,0.941261369361958,3306.6482055655797,10913.380025606602,28.667026454812852,42.93808418003802,93.59868280371293,630.424433760345,32633.01626883913,48383.130251336835,56.73295100361551,3.2693180401446202,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,160420,91011,40105,true,"[33104,26039,19012,12856]",64912,28.323135252824805,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,10,false,PARTIAL,PARTIAL,4,2026-09-20T06:15:11.597896+00:00,2026-09-20T06:17:52.062533+00:00,135.03280770592391,128,0,1042149,131072,970.6678119694452,0.9479177851264113,3391.8538381913095,10942.161004152149,28.228531842390716,39.3923143511192,92.64284664307824,631.011320091784,32269.641912957013,45075.81431190482,57.16684628687436,3.2866738514749745,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,159596,91236,39899,true,"[33032,25999,19186,13019]",64912,28.364428094147677,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,11,false,PARTIAL,PARTIAL,2,2026-09-20T06:17:52.064445+00:00,2026-09-20T06:20:32.175370+00:00,133.5681130308658,128,0,1042149,131072,981.3120588872213,0.958312557507052,2771.4272291050293,10867.126828664914,28.67296560081282,39.559799900054486,94.66611705139948,629.8957662656903,32103.871038736543,44183.404805930324,57.67000327777918,3.306800131111167,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,158644,91490,39661,true,"[33085,26151,19236,13018]",64912,28.34941251548482,0.0
46,dpfix-tp2-dp2-epon-k4-01,tp2-dp2-epon-k4,govreport,jit_clean,measurement,12,false,PARTIAL,PARTIAL,20,2026-09-20T06:20:32.177363+00:00,2026-09-20T06:23:34.252022+00:00,156.7373909400776,128,0,1042149,131072,836.2522765873412,0.8166526138548253,3384.018065626151,11711.352903023362,33.88835890675798,57.589382779140855,111.89362374151506,631.4653523731977,38051.80922723957,61157.57673708722,57.643476726007364,3.3057390690402944,core,2,2,on,4,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,158632,91441,39658,true,"[33083,26202,19182,12974]",64912,28.416982619467703,0.0
