group,attempt,deployment_status,eligible,concurrency,round,status,completed,failed,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,good_requests,joint_pass_rate,request_goodput,remote_hits,d_prefill_computed,draft_tokens,accepted_tokens,acceptance_rate,nixl_bytes,mooncake_bytes
G4DP,G4DP-01,FAILED_WITH_EVIDENCE,False,32,2,COMPLETE,128,0,0,1657.5004297575192,0.8093263817175387,158.15621842001565,3145728,262144,5113.019587433882,3573.108799988404,13688.979410752654,16075.783436263446,15.662620252601643,18.475725057668633,55.6304350943262,54.787648119963706,37174.40324450945,47895.519869134296,111,0.8671875,0.701837721645678,3145728.0,0.0,369490.0,188538.0,0.5102655010961055,30275665920.0,
G4DP,G4DP-01,FAILED_WITH_EVIDENCE,False,32,3,COMPLETE,128,0,0,1616.4709520233732,0.7892924570426627,162.17056030104868,3145728,262144,5096.365691197207,3414.2396334791556,13863.93549296772,16063.64150261041,15.762804879598795,19.67624114444375,55.789641467062445,55.75837590731681,37362.82727973594,49235.484205873196,111,0.8671875,0.684464552591684,3145728.0,0.0,370790.0,188271.0,0.5077564119852207,30275665920.0,
G4DP,G4DP-02,COMPLETE,True,32,1,COMPLETE,128,0,0,1591.3265736281855,0.7770149285293875,164.73299971502274,3145728,262144,4993.188347600153,3319.808882428333,14030.738642427603,16828.221527808353,15.949338927136,20.049368025596024,56.13893160594551,56.51179809356109,37641.48513144755,48216.80987456347,111,0.8671875,0.6738176333340782,3145728.0,0.0,372840.0,187873.0,0.5038971140435575,30275665920.0,
G4DP,G4DP-02,COMPLETE,True,32,2,COMPLETE,128,0,0,1619.840235991393,0.7909376152301724,161.8332439060323,3145728,262144,5262.814084431739,3759.4599325675517,13863.775901542975,15992.656629150733,16.009437534476284,19.295664139580605,55.688401794554395,55.72723629884422,38034.13271750469,46667.54679059377,111,0.8671875,0.6858912132074151,3145728.0,0.0,377265.0,186968.0,0.4955879819225213,30275665920.0,
G4DP,G4DP-02,COMPLETE,True,32,3,COMPLETE,128,0,0,1611.0689319802443,0.7866547519434787,162.71432885108516,3145728,262144,5245.50955248742,3728.113040444441,13666.847617959138,15959.397485048976,15.989891992941596,19.966899128816156,55.703237749974804,55.91012458316981,37976.818462038864,47249.16119425325,111,0.8671875,0.6821771677009854,3145728.0,0.0,376705.0,187072.0,0.4966007884153383,30275665920.0,
G4DP,G4DP-02,COMPLETE,True,48,1,COMPLETE,192,0,0,2039.825611597862,0.9960085994130186,192.76941997604445,4718592,393216,6634.549281592626,4579.942725598812,18946.218623418827,23095.275878049433,18.57308802741309,22.75740567580094,64.48186446849363,184.043123666197,44653.66047370723,58681.23952375025,159,0.828125,0.8248196213889061,4718592.0,0.0,566985.0,280207.0,0.49420531407356455,45413498880.0,
G4DP,G4DP-02,COMPLETE,True,48,2,COMPLETE,192,0,0,2080.986404740397,1.016106642939647,188.95654440810904,4718592,393216,6047.333088414841,3655.295472824946,19268.18642448634,23106.479958170094,18.433844152979802,22.319012965381862,65.27211141527252,184.10222575766966,43781.41206956449,59977.13414779864,159,0.828125,0.8414633136843952,4718592.0,0.0,555940.0,282431.0,0.5080242472209231,45413498880.0,
G4DP,G4DP-02,COMPLETE,True,48,3,COMPLETE,192,0,0,2048.6900741175887,1.0003369502527288,191.93532734294422,4718592,393216,6264.333625465952,4159.808506025001,19264.13100940408,23119.170437648427,18.63468419566286,22.709182205988284,64.95909600122907,182.7989654848352,44409.53217398783,60012.8180400934,159,0.828125,0.828404036928041,4718592.0,0.0,564690.0,280661.0,0.497017832793214,45413498880.0,
G4DP,G4DP-02,COMPLETE,True,64,1,COMPLETE,256,0,0,2440.1809902610507,1.1914946241509037,214.8561939022038,6291456,524288,7499.113964270691,4509.284870466217,24887.453610775992,29634.404187905588,20.821334116594148,25.025735205675428,72.7830027307836,182.70053571322921,50120.384900938916,67404.72261601826,207,0.80859375,0.9634351062470197,6291456.0,0.0,750840.0,374657.0,0.49898380480528476,60551331840.0,
G4DP,G4DP-02,COMPLETE,True,64,2,COMPLETE,256,0,0,2416.6493598427724,1.1800045702357287,216.94831228395924,6291456,524288,7604.153598805169,4538.97237253841,25075.485345965717,29172.26907138247,20.924243959436073,25.830047227526205,73.26785134002199,182.51422262983397,50436.08098377081,69118.3283283026,206,0.8046875,0.949534927611563,6291456.0,0.0,749560.0,374919.0,0.5001854421260473,60551331840.0,
