sample_id,node,configuration,workload,purpose,scope,gpu_group,deployment_count,tp,pp,dp,ep,global_capacity,prefill_tokens_per_rank,prefill_tokens_service,global_concurrency,concurrency,repetition,successful_requests,failed_requests,duration_s,output_tokens_per_s,requests_per_s,actual_input_tokens,actual_output_tokens,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,output_tokens_per_s_common_window,start_skew_s,overlap_s,runner_gate,resource_status
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c32-c32-r03-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,32,16,3,64,0,123.1767559889704,532.0484329516543,0.5195785478043499,524288,65536,4967.713939826353,8267.983287409874,25.227870079177777,28.38379437092943,25.227871137946963,23.221444408409297,30775.825030825217,34645.620143343695,531.5425321340683,5.6449323892593384e-05,123.1766995396465,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r01-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,64,64,1,256,0,181.7600505449809,1442.2531200558076,1.4084503125544996,2097152,262144,6335.422330921574,15624.063303228468,33.52326776366183,37.27277074742494,33.523268284730285,26.044830726459622,40629.725253147626,50470.99423769396,1442.2531200558076,0.0004419861361384392,171.7740447660908,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r01-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,64,32,1,128,0,171.77448675222695,763.0469604549742,0.7451630473193107,1048576,131072,6319.164931890555,15623.873264458962,32.74699181518013,35.504579664124236,32.74699233983855,25.320278736762695,39819.337558819825,49904.944579885334,721.1265600279038,0.0004419861361384392,171.7740447660908,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r01-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,64,32,1,128,0,181.75960855884477,721.1283135965017,0.7042268687465837,1048576,131072,6351.679729952593,15618.161458638497,34.29954371214353,39.19518618971448,34.29954422962201,26.94040420465171,41440.11294747543,51127.6930939639,721.1265600279038,0.0004419861361384392,171.7740447660908,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r02-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,64,64,2,256,0,172.10351892979816,1523.176293140931,1.4874768487704404,2097152,262144,6170.518355158492,15611.690040794201,32.67318372735478,35.83135381912246,32.673184227799126,25.486086634919047,39595.185308242435,49927.05182021018,1523.176293140931,0.0003498806618154049,168.05038287723437,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r02-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,64,32,2,128,0,172.10351892979816,761.5881465704655,0.7437384243852202,1048576,131072,6257.096708595782,15612.832265580073,32.90707680837361,35.88826622689217,32.90707731939762,25.10944828391075,39921.03628356199,50817.97630924265,761.5881465704655,0.0003498806618154049,168.05038287723437,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r02-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,64,32,2,128,0,168.05038287723437,779.9565687139901,0.761676336634756,1048576,131072,6083.940001721203,15606.220835121349,32.439290646335955,35.73115066065747,32.439291136200644,25.9289437206462,39269.33433292288,48580.27957521844,761.5881465704655,0.0003498806618154049,168.05038287723437,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r03-node,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,1,2,off,64,8192,32768,64,64,3,256,0,173.7147208158858,1509.0488518692512,1.4736805194035656,2097152,262144,6357.699271573438,15807.916042977013,32.80720866738621,35.89393161221307,32.80720916528967,25.335929379798472,39919.473738309534,50309.03669586405,1509.0488518692512,2.37366184592247e-05,170.59994130628183,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r03-replica-0,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,1,2,off,64,8192,32768,64,32,3,128,0,173.7147208158858,754.5244259346256,0.7368402597017828,1048576,131072,6378.247669854318,16120.05737961735,33.252188959286265,36.19622320129298,33.2521894561851,25.15429533086717,40395.23697520417,50807.5133868726,754.5244259346256,2.37366184592247e-05,170.59994130628183,PASS,accepted-background
gpu-6000d-46-dual-tp2-dp2-epoff-dsv4-node8-8192-1024-c64-c64-r03-replica-1,gpu-6000d-46,dual-tp2-dp2-epoff,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,1,2,off,64,8192,32768,64,32,3,128,0,170.59994130628183,768.300381561583,0.7502933413687334,1048576,131072,6337.150873292558,15596.627790201455,32.36222837548616,35.32181764488087,32.36222887439424,25.551001518033438,39443.7105014149,49793.44545353669,754.5244259346256,2.37366184592247e-05,170.59994130628183,PASS,accepted-background
